datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-03 14:25:00,0.00032517071462516683,0.0002976949902186851,0.00039947801539315896,0,0,2,0,0,0,0,0,0,1
2024-01-03 14:30:00,0.00015002625459455973,-0.0005739429883297872,0.0,1,1,0,0,0,0,0,0,0,1
2024-01-03 14:35:00,0.00015000750037502442,0.00012783154312460707,0.00021300955880390894,0,0,2,0,0,0,0,0,0,1
2024-01-03 14:40:00,0.0011501349865012359,1.0633433642168575e-05,-0.0010647642878058778,0,1,0,0,0,0,0,0,0,0
2024-01-03 14:45:00,-0.000212213511759216,2.1267093426442968e-05,0.00015988914352716056,1,1,2,0,0,0,0,0,0,0
2024-01-03 14:50:00,-0.0002372271887328833,-0.00021265736645122222,-0.00026643930512620137,0,0,1,0,0,0,0,0,0,0
2024-01-03 14:55:00,-0.0007493068911257372,-0.000348836714638778,-0.00015989340439707467,0,0,2,0,0,0,0,0,0,0
2024-01-03 15:00:00,0.0015248856335775159,0.0014895201617193077,0.0007996801279488508,0,0,0,0,0,1,0,0,0,0
2024-01-03 15:05:00,-0.0019218866982780474,-0.0012112777801385817,-0.0006390797251957423,0,0,2,0,0,0,0,0,0,0
2024-01-03 15:10:00,-0.002333658390218366,-0.0014465622872702664,-0.0015987636227984298,0,0,1,0,0,0,0,0,0,0
2024-01-03 15:15:00,0.00010025062656646733,0.0,-8.006191454717706e-05,1,1,0,0,0,0,0,0,0,0
2024-01-03 15:20:00,0.00012530386186505117,8.5213352932327e-05,0.0004270424640349325,0,0,2,0,0,0,0,0,0,0
2024-01-03 15:25:00,0.0004009120749706207,0.0001054424268373837,-2.6677337601834728e-05,0,1,0,0,0,0,0,0,0,0
2024-01-03 15:30:00,-0.000325610519724472,-0.00023642676095335364,-0.00018675132726834348,0,0,2,0,0,0,0,0,0,1
2024-01-03 15:35:00,-0.0015533980582524386,-0.001086562839550868,-0.001280853902601783,0,0,1,0,0,0,0,0,0,1
